customer_name,email,total_orders
"Debra Burks",debra.burks@yahoo.com,3
"Kasha Todd",kasha.todd@yahoo.com,3
"Tameka Fisher",tameka.fisher@aol.com,3
"Daryl Spence",daryl.spence@aol.com,3
"Charolette Rice",charolette.rice@msn.com,3
"Lyndsey Bean",lyndsey.bean@hotmail.com,3
"Latasha Hays",latasha.hays@hotmail.com,3
"Jacquline Duncan",jacquline.duncan@yahoo.com,3
"Genoveva Baldwin",genoveva.baldwin@msn.com,3
"Pamelia Newman",pamelia.newman@gmail.com,3
"Deshawn Mendoza",deshawn.mendoza@yahoo.com,3
"Robby Sykes",robby.sykes@hotmail.com,3
"Lashawn Ortiz",lashawn.ortiz@msn.com,3
"Garry Espinoza",garry.espinoza@hotmail.com,3
"Linnie Branch",linnie.branch@gmail.com,3
"Emmitt Sanchez",emmitt.sanchez@hotmail.com,3
"Caren Stephens",caren.stephens@msn.com,3
"Georgetta Hardin",georgetta.hardin@aol.com,3
"Lizzette Stein",lizzette.stein@yahoo.com,3
"Aleta Shepard",aleta.shepard@aol.com,3
"Tobie Little",tobie.little@gmail.com,3
"Corene Wall",corene.wall@msn.com,3
"Jamaal Albert",jamaal.albert@gmail.com,3
"Williemae Holloway",williemae.holloway@msn.com,3
"Araceli Golden",araceli.golden@msn.com,3
"Deloris Burke",deloris.burke@hotmail.com,3
"Ronna Butler",ronna.butler@gmail.com,3
"Mozelle Carter",mozelle.carter@aol.com,3
"Monika Berg",monika.berg@gmail.com,3
"Bridgette Guerra",bridgette.guerra@hotmail.com,3
"Cleotilde Booth",cleotilde.booth@gmail.com,3
"Saturnina Garner",saturnina.garner@gmail.com,3
"Lolita Mosley",lolita.mosley@hotmail.com,3
"Elinore Aguilar",elinore.aguilar@msn.com,3
"Bobbie Foster",bobbie.foster@yahoo.com,3
"Lorrie Becker",lorrie.becker@yahoo.com,3
"Jayne Kirkland",jayne.kirkland@hotmail.com,3
"Keri Bridges",keri.bridges@gmail.com,3
"Merlene Vinson",merlene.vinson@gmail.com,3
"Adelle Larsen",adelle.larsen@gmail.com,2
"Kaylee English",kaylee.english@msn.com,2
"Regenia Vaughan",regenia.vaughan@gmail.com,2
"Theo Reese",theo.reese@gmail.com,2
"Santos Valencia",santos.valencia@yahoo.com,2
"Jeanice Frost",jeanice.frost@hotmail.com,2
"Syreeta Hendricks",syreeta.hendricks@msn.com,2
"Brittney Woodward",brittney.woodward@aol.com,2
"Guillermina Noble",guillermina.noble@msn.com,2
"Bernita Mcdaniel",bernita.mcdaniel@hotmail.com,2
"Melia Brady",melia.brady@gmail.com,2
"Zelma Browning",zelma.browning@aol.com,2
"Janetta Aguirre",janetta.aguirre@aol.com,2
"Kathie Freeman",kathie.freeman@msn.com,2
"Tangela Quinn",tangela.quinn@aol.com,2
"Onita Johns",onita.johns@msn.com,2
"Bennett Armstrong",bennett.armstrong@aol.com,2
"Cesar Jackson",cesar.jackson@gmail.com,2
"Caroll Hays",caroll.hays@yahoo.com,2
"Gertrud Rhodes",gertrud.rhodes@aol.com,2
"Tu Ramirez",tu.ramirez@hotmail.com,2
"Fran Yang",fran.yang@hotmail.com,2
"Diana Guerra",diana.guerra@hotmail.com,2
"Pamala Henry",pamala.henry@aol.com,2
"Damien Dorsey",damien.dorsey@yahoo.com,2
"Latasha Stanley",latasha.stanley@gmail.com,2
"Neil Mccall",neil.mccall@gmail.com,2
"Alica Hunter",alica.hunter@hotmail.com,2
"Tenisha Lyons",tenisha.lyons@aol.com,2
"Kanesha Vega",kanesha.vega@gmail.com,2
"Tommie Melton",tommie.melton@gmail.com,2
"Katelin Kennedy",katelin.kennedy@gmail.com,2
"Tomasa Carson",tomasa.carson@aol.com,2
"Takako Casey",takako.casey@aol.com,2
"Petronila Norris",petronila.norris@aol.com,2
"Melanie Hayes",melanie.hayes@msn.com,2
"Georgeann Waller",georgeann.waller@yahoo.com,2
"Abby Gamble",abby.gamble@aol.com,2
"Parker Prince",parker.prince@hotmail.com,2
"Chi Goff",chi.goff@aol.com,2
"Ashanti Parks",ashanti.parks@hotmail.com,2
"Sarai Mckee",sarai.mckee@msn.com,2
"Zina Bonner",zina.bonner@hotmail.com,2
"Lizzie Joyner",lizzie.joyner@msn.com,2
"Tiesha Daniel",tiesha.daniel@yahoo.com,2
"Armand Whitehead",armand.whitehead@hotmail.com,2
"Teofila Fischer",teofila.fischer@aol.com,2
"Lissa Vargas",lissa.vargas@yahoo.com,2
"Yan Mcgowan",yan.mcgowan@msn.com,2
"Titus Bullock",titus.bullock@gmail.com,2
"Arvilla Osborn",arvilla.osborn@gmail.com,2
"Marjorie Logan",marjorie.logan@msn.com,2
"Marvin Mullins",marvin.mullins@aol.com,2
"Tena Cruz",tena.cruz@yahoo.com,2
"Corrina Sawyer",corrina.sawyer@yahoo.com,2
"Sharyn Hopkins",sharyn.hopkins@hotmail.com,2
"Louanne Martin",louanne.martin@hotmail.com,2
"Katharina Bates",katharina.bates@gmail.com,2
"Monica Sears",monica.sears@aol.com,2
"Ollie Zimmerman",ollie.zimmerman@yahoo.com,2
"Dacia William",dacia.william@msn.com,2
"Thalia Dillard",thalia.dillard@yahoo.com,2
"Luz House",luz.house@gmail.com,2
"Lucy Woods",lucy.woods@gmail.com,2
"Robena Hill",robena.hill@hotmail.com,2
"Jeni Booker",jeni.booker@gmail.com,2
"Dorthey Jackson",dorthey.jackson@msn.com,2
"Sarita Parks",sarita.parks@msn.com,2
"Jone Bernard",jone.bernard@hotmail.com,2
"Joesph Delacruz",joesph.delacruz@aol.com,2
"Laraine Robbins",laraine.robbins@yahoo.com,2
"Carola Rodriquez",carola.rodriquez@hotmail.com,2
"Jeromy Burch",jeromy.burch@msn.com,2
"Karla Kirk",karla.kirk@yahoo.com,2
"Regine Gonzales",regine.gonzales@gmail.com,2
"Jeanie Kirkland",jeanie.kirkland@aol.com,2
"Nova Hess",nova.hess@msn.com,2
"Carley Reynolds",carley.reynolds@gmail.com,2
"Olevia Pitts",olevia.pitts@gmail.com,2
"Hedwig Paul",hedwig.paul@msn.com,2
"Sharla Flynn",sharla.flynn@hotmail.com,2
"Graciela Barber",graciela.barber@hotmail.com,2
"Bong Hebert",bong.hebert@gmail.com,2
"Dorine Roberson",dorine.roberson@msn.com,2
"Denis Logan",denis.logan@msn.com,2
"Carline Collier",carline.collier@msn.com,2
"Moses Pope",moses.pope@yahoo.com,2
"Jenee Rasmussen",jenee.rasmussen@hotmail.com,2
"Mariana Strong",mariana.strong@msn.com,2
"Elvera Peck",elvera.peck@yahoo.com,2
"Felice Guzman",felice.guzman@hotmail.com,2
"Le Deleon",le.deleon@msn.com,2
