customer_name,email,total_spent
"Sharyn Hopkins",sharyn.hopkins@hotmail.com,34807.9392
"Pamelia Newman",pamelia.newman@gmail.com,33634.2604
"Abby Gamble",abby.gamble@aol.com,32803.0062
"Lyndsey Bean",lyndsey.bean@hotmail.com,32675.0725
"Emmitt Sanchez",emmitt.sanchez@hotmail.com,31925.8857
"Melanie Hayes",melanie.hayes@msn.com,31913.6902
"Debra Burks",debra.burks@yahoo.com,27888.1834
"Elinore Aguilar",elinore.aguilar@msn.com,25636.4531
"Corrina Sawyer",corrina.sawyer@yahoo.com,25612.7021
"Shena Carter",shena.carter@yahoo.com,24890.6244
