customer_name,city,state,total_orders,total_spent
"Sharyn Hopkins",Baldwinsville,NY,2,34807.9392
"Pamelia Newman",Monroe,NY,3,33634.2604
"Abby Gamble",Amityville,NY,2,32803.0062
"Lyndsey Bean",Fairport,NY,3,32675.0725
"Emmitt Sanchez","New York",NY,3,31925.8857
"Melanie Hayes",Liverpool,NY,2,31913.6902
"Debra Burks","Orchard Park",NY,3,27888.1834
"Elinore Aguilar","San Angelo",TX,3,25636.4531
"Corrina Sawyer",Troy,NY,2,25612.7021
"Shena Carter","Howard Beach",NY,1,24890.6244
"Abram Copeland",Harlingen,TX,1,24607.0261
"Genoveva Baldwin","Port Washington",NY,3,24433.8818
"Robby Sykes",Hempstead,NY,3,24305.1394
"Tameka Fisher","Redondo Beach",CA,3,24051.5279
"Teofila Fischer","Huntington Station",NY,2,23195.0754
"Mozelle Carter",Houston,TX,3,23049.0570
"Lorrie Becker",Garland,TX,3,23026.2923
"Guillermina Noble",Baldwinsville,NY,2,22061.0729
"Zelma Browning",Astoria,NY,2,21535.6665
"Damien Dorsey","Central Islip",NY,2,21514.4615
"Daryl Spence",Uniondale,NY,3,21150.8927
"Brigid Sharp","Santa Clara",CA,1,20648.9537
"Augustina Joyner","Mount Vernon",NY,1,20509.4254
"Cindi Larson","Howard Beach",NY,1,20177.7457
"Tenisha Lyons",Amityville,NY,2,20086.3708
"Jeanice Frost",Ossining,NY,2,19992.8648
"Williemae Holloway",Oakland,CA,3,19756.6432
"Adena Blake","Ballston Spa",NY,1,19329.9492
"Kasha Todd",Campbell,CA,3,19329.0849
"Deloris Burke","Palos Verdes Peninsula",CA,3,19043.9036
"Lizzie Joyner",Coachella,CA,2,18995.0137
"Marvin Mullins","San Diego",CA,2,18856.8770
"Bess Mcbride","Garden City",NY,1,18853.3544
"Penny Acevedo","Ballston Spa",NY,1,18670.9288
"Danielle Bond",Patchogue,NY,1,18553.7300
"Shae Hickman","Floral Park",NY,1,18281.4729
"Jimmy Russell","Howard Beach",NY,1,18278.9436
"Andreas Mayer","New Rochelle",NY,1,18114.9309
"Araceli Golden",Fullerton,CA,3,18037.2850
"Carola Rodriquez",Banning,CA,2,17861.1996
"Charmain Webster",Richardson,TX,1,17834.9634
"Janetta Aguirre",Lancaster,NY,2,17783.4874
"Ashanti Hammond",Nanuet,NY,1,17758.3490
"Jenniffer Bullock","Bay Shore",NY,1,17746.5951
"Ruthanne Franco",Astoria,NY,1,17611.9570
"Paul Lester",Vista,CA,1,17580.7168
"Charolette Rice",Sacramento,CA,3,17520.2919
"Edris Barrett",Plattsburgh,NY,1,17494.9405
"Tamela Harrell","Central Islip",NY,1,17479.9570
