"customer_id";"customer_name";"email";"city";"state";"total_orders";"gross_spent";"net_spent";"first_order_date";"last_order_date";"customer_type"
1;"Debra Burks";"debra.burks@yahoo.com";"Orchard Park";"NY";3;30645.87;27888.1834;"2016-12-09";"2018-11-18";"Returning"
2;"Kasha Todd";"kasha.todd@yahoo.com";"Campbell";"CA";3;21653.85;19329.0849;"2017-02-05";"2018-04-09";"Returning"
3;"Tameka Fisher";"tameka.fisher@aol.com";"Redondo Beach";"CA";3;26249.81;24051.5279;"2018-03-27";"2018-10-21";"Returning"
4;"Daryl Spence";"daryl.spence@aol.com";"Uniondale";"NY";3;24198.88;21150.8927;"2017-02-07";"2018-04-18";"Returning"
5;"Charolette Rice";"charolette.rice@msn.com";"Sacramento";"CA";3;19442.88;17520.2919;"2016-06-10";"2018-04-17";"Returning"
6;"Lyndsey Bean";"lyndsey.bean@hotmail.com";"Fairport";"NY";3;35857.86;32675.0725;"2017-08-14";"2018-09-06";"Returning"
7;"Latasha Hays";"latasha.hays@hotmail.com";"Buffalo";"NY";3;7707.96;7147.1629;"2016-03-03";"2018-06-17";"Returning"
8;"Jacquline Duncan";"jacquline.duncan@yahoo.com";"Jackson Heights";"NY";3;2603.95;2201.6567;"2016-10-19";"2018-04-12";"Returning"
9;"Genoveva Baldwin";"genoveva.baldwin@msn.com";"Port Washington";"NY";3;26679.78;24433.8818;"2016-02-16";"2018-04-27";"Returning"
10;"Pamelia Newman";"pamelia.newman@gmail.com";"Monroe";"NY";3;37801.84;33634.2604;"2017-04-07";"2018-08-23";"Returning"
11;"Deshawn Mendoza";"deshawn.mendoza@yahoo.com";"Monsey";"NY";3;4079.93;3690.2361;"2017-08-19";"2018-04-26";"Returning"
12;"Robby Sykes";"robby.sykes@hotmail.com";"Hempstead";"NY";3;27157.88;24305.1394;"2016-03-06";"2018-04-23";"Returning"
13;"Lashawn Ortiz";"lashawn.ortiz@msn.com";"Longview";"TX";3;15830.88;14774.4583;"2016-05-27";"2018-04-12";"Returning"
14;"Garry Espinoza";"garry.espinoza@hotmail.com";"Forney";"TX";3;17307.89;15766.7006;"2016-08-05";"2018-04-22";"Returning"
15;"Linnie Branch";"linnie.branch@gmail.com";"Plattsburgh";"NY";3;11392.9;9586.8018;"2018-02-18";"2018-08-25";"Returning"
16;"Emmitt Sanchez";"emmitt.sanchez@hotmail.com";"New York";"NY";3;34503.82;31925.8857;"2016-08-03";"2018-04-09";"Returning"
17;"Caren Stephens";"caren.stephens@msn.com";"Scarsdale";"NY";3;5927.92;5275.327;"2016-05-30";"2018-04-17";"Returning"
18;"Georgetta Hardin";"georgetta.hardin@aol.com";"Canandaigua";"NY";3;17306.87;14877.289;"2016-12-11";"2018-04-14";"Returning"
19;"Lizzette Stein";"lizzette.stein@yahoo.com";"Orchard Park";"NY";3;18223.86;16739.9958;"2017-10-27";"2018-04-14";"Returning"
20;"Aleta Shepard";"aleta.shepard@aol.com";"Sugar Land";"TX";3;12474.92;11102.47;"2016-11-09";"2018-04-12";"Returning"
21;"Tobie Little";"tobie.little@gmail.com";"Victoria";"TX";3;18298.89;17123.9975;"2017-10-12";"2018-04-28";"Returning"
22;"Adelle Larsen";"adelle.larsen@gmail.com";"East Northport";"NY";2;18099.9;16651.0484;"2016-04-19";"2018-04-08";"Returning"
23;"Kaylee English";"kaylee.english@msn.com";"Hollis";"NY";2;5139.96;4775.9635;"2017-09-03";"2018-04-01";"Returning"
24;"Corene Wall";"corene.wall@msn.com";"Atwater";"CA";3;15455.84;14199.9558;"2016-04-20";"2018-04-23";"Returning"
25;"Regenia Vaughan";"regenia.vaughan@gmail.com";"Mahopac";"NY";2;16419.91;14529.2583;"2017-08-17";"2018-04-09";"Returning"
26;"Theo Reese";"theo.reese@gmail.com";"Long Beach";"NY";2;11035.92;9514.0705;"2016-06-04";"2018-04-11";"Returning"
27;"Santos Valencia";"santos.valencia@yahoo.com";"Sunnyside";"NY";2;11509.89;10719.0988;"2016-12-29";"2018-04-01";"Returning"
28;"Jeanice Frost";"jeanice.frost@hotmail.com";"Ossining";"NY";2;22231.85;19992.8648;"2017-12-20";"2018-04-13";"Returning"
29;"Syreeta Hendricks";"syreeta.hendricks@msn.com";"Mahopac";"NY";2;13599.94;11979.9467;"2017-01-21";"2018-04-22";"Returning"
30;"Jamaal Albert";"jamaal.albert@gmail.com";"Torrance";"CA";3;11677.88;10355.3908;"2016-08-03";"2018-04-18";"Returning"
31;"Williemae Holloway";"williemae.holloway@msn.com";"Oakland";"CA";3;21928.86;19756.6432;"2016-04-06";"2018-04-06";"Returning"
32;"Araceli Golden";"araceli.golden@msn.com";"Fullerton";"CA";3;19575.94;18037.285;"2016-04-04";"2018-04-10";"Returning"
