"staff_id";"staff_name";"manager_name";"store_name";"city";"state";"order_year";"order_month";"yr_month";"total_orders";"gross_revenue";"net_revenue"
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;1;"2016-01";7;48525.78;43530.0651
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;2;"2016-02";6;19109.75;16841.7148
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;3;"2016-03";6;24353.81;21966.9377
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;4;"2016-04";5;11569.86;10495.8762
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;5;"2016-05";3;8400.92;7877.6346
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;6;"2016-06";3;9027.9;8302.609
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;7;"2016-07";2;13731.92;12154.5304
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;8;"2016-08";4;19765.88;18374.3408
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;9;"2016-09";5;25572.81;22925.6237
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;10;"2016-10";10;49757.57;43330.2192
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;11;"2016-11";3;19750.91;17900.4486
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;12;"2016-12";6;23952.79;21451.5286
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;1;"2017-01";5;22157.82;20030.1418
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;2;"2017-02";5;23567.78;21194.7657
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;3;"2017-03";6;33168.71;28845.8892
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;4;"2017-04";3;2940.93;2597.4579
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;5;"2017-05";8;32721.72;29832.4619
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;6;"2017-06";6;39809.77;34752.4795
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;7;"2017-07";6;37774.78;33018.3706
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;8;"2017-08";8;35747.68;32323.8295
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;9;"2017-09";5;19950.77;18143.7415
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;10;"2017-10";7;28329.68;25347.5903
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;11;"2017-11";4;27079.8;24668.8203
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2017;12;"2017-12";3;7405.85;6381.6679
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2018;1;"2018-01";4;51289.83;47056.5475
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2018;2;"2018-02";3;18251.86;16457.4369
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2018;3;"2018-03";7;39486.79;34714.8203
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2018;4;"2018-04";22;142160.01;130061.1566
2;"Mireya Copeland";"Fabiola Jackson";"Santa Cruz Bikes";"Santa Cruz";"CA";2018;7;"2018-07";2;2059.97;1956.9715
3;"Genna Serrano";"Mireya Copeland";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;1;"2016-01";7;31969.71;28230.2413
3;"Genna Serrano";"Mireya Copeland";"Santa Cruz Bikes";"Santa Cruz";"CA";2016;2;"2016-02";4;20254.83;18413.7365
